#"Step"	"Speed (ns/day)"	"Elapsed Time (s)"
1000000	0	0.00030994415283203125
2000000	0	9.489059448242188e-05
3000000	2.48e+04	34.818771839141846
4000000	2.51e+04	68.91355657577515
5000000	2.52e+04	102.98110103607178
6000000	2.52e+04	137.2041699886322
7000000	2.52e+04	171.23186373710632
8000000	2.52e+04	205.43261218070984
9000000	2.52e+04	239.73764657974243
10000000	2.52e+04	274.06252217292786
11000000	2.52e+04	308.4371585845947
