,0
0,0.0
1,1.936937547778537
2,2.9050804186496904
3,3.231635533246632
4,3.2175538112541506
5,3.22700706771746
6,3.3007286570239613
7,3.0286362170026373
8,3.143873934713343
9,3.0535777372475836
10,3.1586322253796357
11,3.1275863519811566
12,3.0836127922843426
13,3.2358603362742464
14,3.1978058189833867
15,3.2274786553605312
16,3.076503626427389
17,2.896097350929525
18,2.8334919827914216
19,3.0603403904001376
20,2.775751158350034
21,2.8899100376703872
22,2.9576889188342963
23,2.8216128003652994
24,2.8387681359917374
25,2.8015776267821924
26,2.7997100563332804
27,2.9174444723996134
28,2.884372434868423
29,2.9876387361006786
30,2.9066089896895684
31,2.7829560293697533
32,3.2993596734886856
33,2.862199518826432
34,2.9709915034399748
35,3.0483007830504185
36,3.1890424352679463
37,3.1682739587521245
38,3.355437423619236
39,3.1609093664414663
40,3.213276483799427
41,3.327331030173304
42,3.236805490137045
43,3.253446255914342
44,3.2085052937571876
45,3.2836237838252957
46,3.3324733918922766
47,3.1345431737544183
48,3.1829799071049147
49,3.2304789588231118
50,3.233493234654291
51,3.3667238923209966
52,3.3826574557919566
53,3.368746723966954
54,3.3473519069913906
55,3.361124805502053
56,3.290616602261781
57,3.257247744125562
58,3.2897684978878123
59,3.4555623513459204
60,3.323686778088239
61,3.263065129290531
62,3.227551910392792
63,3.206613660016454
64,3.350520737466467
65,3.127187500804201
66,3.3174411603095995
67,3.275026080542898
68,3.5381915841949114
69,3.330136657066796
70,3.4863838059330914
71,3.4829017124087565
72,3.5294842143064797
73,3.539258438261476
74,3.4319988224724027
75,3.300421925027282
76,3.379541785560113
77,3.4660371202981164
78,3.3625316047822684
79,3.3155014256258317
80,3.2343987964836276
81,3.3281808247988707
82,3.42213360268659
83,3.3364327211499463
84,3.42349675249557
85,3.40299667202238
86,3.2681351360198203
87,3.3901884869450374
88,3.2440298023912604
89,3.2496214320802843
90,3.399735466010524
91,3.2326834957435917
92,2.930857584759898
93,2.957990393719004
94,3.1245060653330348
95,3.1413397490001724
96,2.974007092946146
97,2.983650473481007
98,3.026088300891342
99,3.0329787677159183
100,3.186226739138094
101,3.057824888604153
102,3.1606215960818598
103,3.1195449800386665
104,2.9719845503065008
105,3.003206931024219
106,3.0286855429429673
107,3.052069623359312
108,2.964635906144744
109,3.0877293313734073
110,3.1021934515317913
111,3.090567005877746
112,3.2464715971087665
113,3.169474788860618
114,3.1001488632540974
115,3.0767734686004755
116,3.058896452720453
117,3.0882164074542766
118,3.1248831812802806
119,3.104760475700933
120,3.1403840977761814
121,3.1777773195512684
122,3.03787941982841
123,3.181919719763174
124,3.2359445096430575
125,2.963022143452247
126,3.0111340217872886
127,3.037617731549383
128,3.15960470294295
129,3.1561254310787445
130,3.058181737192093
131,3.2606363380671763
132,3.1889749031645875
133,3.156707753451145
134,3.1346356390687826
135,3.133486738897765
136,3.2662524530570574
137,3.1118350029216026
138,3.113638484271688
139,3.071381794883305
140,3.1436700263626602
141,3.146817073182381
142,3.1502994466114624
143,3.287300149972605
144,3.1926794097293016
145,3.1503773645066735
146,3.3766562682232104
147,3.271827631679469
148,3.047017308487039
149,3.1351451383325823
150,3.1722792463003704
151,3.1429654871898873
152,3.1790903757578364
153,3.0310245589276525
154,3.2452516858788183
155,3.2232785561738786
156,3.2105873985141606
157,3.196577854600486
158,3.185536596795545
159,3.1307345605300734
160,3.222857639165414
161,3.2038799931908106
162,3.23145265415657
163,3.18500699351517
164,3.196214042494284
165,3.1132569766357197
166,3.225740874054661
167,3.3277706665561864
168,3.2313896748686384
169,3.2235551720590325
170,3.270636543300677
171,3.299591107198226
172,3.2862414187257296
173,3.1307066121201417
174,3.28976738227443
175,3.227787141514386
176,3.187361502309998
177,3.1687572391237087
178,3.0730286600359706
179,3.2693778793841424
180,3.1859634736083255
181,3.134873078095105
182,3.20233507682222
183,3.098865392552776
184,3.206011519345128
185,3.119530169813058
186,3.024315269617389
187,3.266399493354139
188,3.0948510306501915
189,3.2050313664000836
190,3.0729052337989375
191,3.116542953949192
192,3.12080541077341
193,3.2922865393752954
194,2.9800575083078034
195,3.1912796244685824
196,3.083904695007993
197,3.176637452845272
198,3.1673808291898276
199,3.199971113352974
200,3.2560778633984477
201,3.005981024416569
202,3.2091860715650373
203,3.2755645097386927
204,3.2804441076673316
205,3.1428014059835565
206,3.102190226490647
207,3.204020536898925
208,3.265907838886777
209,3.2851121425161174
210,3.1313323489667364
211,3.274297159205514
212,3.2688231901327938
213,3.2496598379509494
214,3.333308353861439
215,3.3873351029083
216,3.402629233600027
217,3.2875659654485436
218,3.436744249874725
219,3.3681791946523023
220,3.2941270418094177
221,3.3974118615630036
222,3.311207635394859
223,3.6015712628043364
224,3.4113752522421916
225,3.3780291677795486
226,3.5007195684123533
227,3.368006775668587
228,3.4039588124046216
229,3.3460256947817624
230,3.3939975009727195
231,3.480809773863912
232,3.48414694920563
233,3.409945720916243
234,3.412425356644234
235,3.315100365319416
236,3.3535579236605564
237,3.2727265394969884
238,3.4064105358963355
239,3.4089607338154577
240,3.515107151521505
241,3.4004518675046436
242,3.424933518606288
243,3.488596332957521
244,3.62523795639267
245,3.374047528800403
246,3.533679151873393
247,3.5552271689330643
248,3.4280006979284807
249,3.4588301269545765
250,3.5010625099422383
251,3.5946615111634994
252,3.4590430154547644
253,3.5467737317622796
254,3.5113756560554443
255,3.439486710006005
256,3.4563968141191297
257,3.4120223499405165
258,3.4894415109932937
259,3.3927037729653917
260,3.605671441965668
261,3.5028923732442827
262,3.6465999123990267
263,3.464885858852925
264,3.4422244284200483
265,3.4658739083150114
266,3.4086864885245514
267,3.390123115355911
268,3.4781866909532604
269,3.4329634500068567
270,3.513806250654083
271,3.6312779337882013
272,3.463890763119154
273,3.565969419157762
274,3.622492749813406
275,3.6892020449630856
276,3.7543603243290127
277,3.7256093306628224
278,3.8151700709785596
279,3.773367222422547
280,3.9253133072830115
281,3.8798732659813875
282,3.871501156978014
283,3.821111579523227
284,3.886918588028096
285,3.93593283923551
286,4.021063709643013
287,3.872450762396146
288,3.923823681173512
289,3.8831096851243134
290,3.8490176765869966
291,3.9830548364886966
292,4.0126810340848875
293,3.976142318100369
294,4.067756456075288
295,4.063815676350078
296,4.132860298693732
297,3.973476123199454
298,4.167298366350243
299,4.176998596568247
300,4.194497387384745
301,3.9966100153777138
302,4.1396270219999405
303,4.0843649978100816
304,4.102679746550785
305,4.243858054876002
306,4.132814205012802
307,4.116009485424593
308,4.098181743189627
309,4.136248500054166
310,4.222335586965008
311,4.271042133504907
312,4.3229977885315805
313,4.330679216120644
314,4.231617356469085
315,4.245111639447565
316,4.317562256919299
317,4.317912858449756
318,4.324297512337447
319,4.314581050556033
320,4.359597669339454
321,4.30157340052928
322,4.28922453526363
323,4.3790455600180085
324,4.341971525173921
325,4.3773471283008485
326,4.348061253542133
327,4.280487519230454
328,4.257386904343965
329,4.353343180693411
330,4.214955738776707
331,4.2876997665771555
332,4.276508449343683
333,4.259705585985539
334,4.3520110637189795
335,4.452769419222427
336,4.450662892088048
337,4.320671071239539
338,4.377894134392609
339,4.2928926430532215
340,4.297162631186312
341,4.31558593488501
342,4.327485586953338
343,4.362163470846942
344,4.3366203167060995
345,4.343537576508592
346,4.513792306681148
347,4.489872930498423
348,4.403916204011277
349,4.538913179136412
350,4.474576441972455
351,4.569886918381539
352,4.5726255000333635
353,4.503247008514731
354,4.657380744342125
355,4.519887580352677
356,4.572810210958635
357,4.5501341171736795
358,4.595375348931879
359,4.630203790793567
360,4.674058534578247
361,4.579745022485674
362,4.552138565537739
363,4.654503368960556
364,4.603307156402481
365,4.677463710416615
366,4.718481212942832
367,4.816904036069624
368,4.76986353146572
369,4.796389938634695
370,4.942450229554789
371,4.928897615433049
372,4.943457872119937
373,4.9211005975655535
374,4.9454076297436425
375,5.138118822602396
376,4.987919162304142
377,4.966211570136112
378,4.895802581746158
379,4.7713267890580955
380,4.920415189328356
381,4.83527748692572
382,4.836164588291606
383,4.839770280402507
384,4.7624565288427165
385,4.967797800212409
386,4.9568352020830995
387,5.00067483537393
388,4.874423390013326
389,4.9870963885825725
390,5.085365916496451
391,5.08960716529085
392,5.031527127352806
393,5.025931123064515
394,5.1061882187195184
395,5.135548157196791
396,5.0344419489099685
397,5.05201531672061
398,5.082864511983259
399,5.103842397269523
400,5.096147882443531
401,5.023543625861255
402,5.155133141612938
403,5.110506456425252
404,5.131428931650494
405,5.106295593820611
406,5.150231070183588
407,5.143612296517009
408,5.149083252154396
409,5.143255063349957
410,5.181034982700384
411,5.089451605228829
412,5.063978831220537
413,5.098438927185556
414,5.152025232355446
415,5.305188733705089
416,5.138310064323598
417,5.064825421428471
418,5.117342554374288
419,5.1641867910687695
420,5.165703326724591
421,5.125731732273049
422,5.141413586056187
423,4.985697869164503
424,5.017438505569163
425,5.184638769096332
426,5.1138721594604775
427,5.135741476693125
428,5.167383796219689
429,5.1237881331828
430,5.056500930131326
431,5.153832639331084
432,5.0704557919921
433,5.068641519005285
434,5.183204735781899
435,5.154805276427259
436,5.063816033897344
437,5.180460677888765
438,5.117323628080592
439,5.114639650996648
440,5.207741778767433
441,5.115646757072108
442,5.06872962174325
443,5.067790727244171
444,5.1241811338762036
445,5.125381093597476
446,5.143926336072622
447,5.141077923368092
448,5.188315196656631
449,5.126312144753697
450,5.106241853119418
451,5.08002236018558
452,5.087916333557749
453,5.030381213300065
454,5.091399161665064
455,5.153414267471699
456,5.151267754888309
457,5.0882476169474105
458,5.090552086999064
459,5.057179481752062
460,5.013580302148227
461,5.123724591435881
462,5.09870531232078
463,5.15643248977724
464,5.124535580593135
465,5.060855259242374
466,5.046492673733976
