Time_ns,PC1,PC2,PC3,Cluster,RMSD_A,NativeQ,Rg_A
8.8,0.3069,-0.9146,-0.1437,1,4.6993,0.4515,7.0203
8.9,0.4354,-0.7921,-0.0754,1,4.6387,0.4486,7.0883
9.0,0.2576,-0.8189,-0.1029,1,4.6630,0.4571,6.9993
9.1,0.4166,-0.6821,-0.1162,1,4.4516,0.4535,7.0438
9.2,0.4866,-0.5685,0.0772,1,4.3916,0.4622,7.0572
9.3,0.6932,-0.3891,0.3190,1,4.3078,0.4572,7.3394
9.4,0.7419,-0.4167,0.3832,1,4.5384,0.4437,7.5126
9.5,0.5600,-0.4213,0.1180,1,4.2139,0.4568,7.1017
9.6,0.7258,-0.4011,0.5290,1,4.6195,0.4490,7.4382
9.7,0.6510,-0.5390,0.2252,1,4.3642,0.4534,7.2465
9.8,0.7225,-0.5566,0.1287,1,4.3973,0.4447,7.3329
9.9,0.3824,-0.7905,0.1889,1,4.2689,0.4492,7.2053
10.0,0.5338,-0.5237,-0.0081,1,4.5283,0.4520,7.1502
10.1,0.6521,-0.4742,-0.1132,1,4.6380,0.4600,7.0905
10.2,0.6229,-0.4565,-0.1387,1,4.5283,0.4604,7.0141
10.3,0.4760,-0.4451,-0.1106,1,4.3877,0.4759,6.8483
10.4,0.5469,-0.3755,0.2886,1,4.2675,0.4632,7.2308
10.5,0.8010,-0.1093,0.3070,2,4.5322,0.4443,7.4184
10.6,0.5315,-0.5110,0.1661,1,4.3849,0.4594,7.2375
10.7,0.5549,-0.5561,0.3004,1,4.2865,0.4565,7.3029
10.8,0.5434,-0.5867,0.2745,1,4.4448,0.4602,7.1514
10.9,0.6380,-0.4432,-0.0258,1,4.4311,0.4571,7.1236
11.0,0.7457,-0.4202,-0.0583,1,4.5839,0.4512,7.1643
11.1,0.8406,-0.1723,0.1374,1,4.5360,0.4458,7.4626
11.2,0.5234,-0.5554,0.0284,1,4.3457,0.4582,7.1393
11.3,0.4884,-0.6391,0.0832,1,4.3887,0.4426,7.2688
11.4,0.6159,-0.4424,0.1497,1,4.3238,0.4551,7.3329
11.5,0.4921,-0.6626,0.1363,1,4.2608,0.4486,7.2301
11.6,0.9907,-0.1759,0.2142,2,4.6337,0.4361,7.6118
11.7,0.6617,-0.6189,0.1815,1,4.5985,0.4504,7.2975
11.8,0.6649,-0.4503,0.0358,1,4.4231,0.4585,7.1389
11.9,0.5147,-0.6609,-0.1939,1,4.7085,0.4524,7.1194
12.0,0.5375,-0.6170,-0.1193,1,4.5595,0.4547,7.1105
12.1,0.6928,-0.5745,-0.1447,1,4.6882,0.4431,7.2340
12.2,0.7130,-0.4861,-0.1465,1,4.5595,0.4497,7.2183
12.3,0.6537,-0.5982,0.0192,1,4.5095,0.4475,7.2442
12.4,0.6124,-0.5728,0.1498,1,4.4085,0.4519,7.2664
12.5,0.6381,-0.5355,-0.0493,1,4.4195,0.4525,7.1721
12.6,0.7000,-0.5383,0.0038,1,4.6081,0.4530,7.2311
12.7,0.6005,-0.5473,-0.1825,1,4.4259,0.4541,7.1029
12.8,0.7951,-0.2347,0.0803,1,4.3980,0.4405,7.4347
12.9,0.9036,-0.1285,0.4477,2,4.4473,0.4299,7.8496
13.0,1.0842,-0.1299,0.2725,2,4.7584,0.4319,7.6055
13.1,1.0055,0.0165,0.1574,2,4.5969,0.4439,7.4588
13.2,0.9957,-0.1949,0.4605,2,4.7240,0.4214,7.8131
13.3,0.9012,-0.2490,0.0603,1,4.6556,0.4430,7.3835
13.4,0.8869,-0.2701,0.0642,1,4.6151,0.4369,7.4086
13.5,0.7651,-0.6057,0.2767,1,4.6724,0.4387,7.5240
13.6,0.6076,-0.5053,0.0778,1,4.3309,0.4469,7.2906
13.7,0.9593,-0.3484,0.3244,1,4.7909,0.4369,7.5796
13.8,0.9360,-0.0503,0.2401,2,4.6179,0.4391,7.6143
13.9,0.7542,-0.3495,0.1082,1,4.4438,0.4425,7.4727
14.0,0.7379,-0.4254,-0.0871,1,4.4391,0.4493,7.2613
14.1,0.7169,-0.2970,-0.2077,1,4.4258,0.4547,7.1362
14.2,0.7811,-0.2363,-0.2243,1,4.4448,0.4520,7.2288
14.3,0.6388,-0.4822,-0.0946,1,4.4375,0.4476,7.2417
14.4,0.4686,-0.5286,-0.1192,1,4.3181,0.4543,7.1025
14.5,0.6157,-0.3414,-0.2142,1,4.4980,0.4535,7.1490
14.6,0.3958,-0.4671,-0.1643,1,4.2490,0.4551,7.2338
