Time_ns,Rg_A
35.8,6.9287
35.9,7.0080
36.0,6.9966
36.1,7.1212
36.2,7.1015
36.3,6.8359
36.4,7.0219
36.5,7.0515
36.6,6.7835
36.7,7.0032
36.8,6.8669
36.9,6.8772
37.0,7.0025
37.1,6.9441
37.2,7.0516
37.3,6.9136
37.4,6.9592
37.5,7.2212
37.6,7.0989
37.7,6.8440
37.8,6.8695
37.9,6.9132
38.0,6.8313
38.1,6.9084
38.2,6.7769
38.3,6.8735
38.4,6.7515
38.5,6.8851
38.6,6.8986
38.7,6.8822
38.8,6.7537
38.9,6.9680
39.0,6.8973
39.1,6.9054
39.2,6.9526
39.3,6.9027
39.4,6.7885
39.5,6.7551
39.6,6.9079
39.7,6.8647
39.8,6.9327
39.9,6.9363
40.0,6.7941
40.1,6.8395
40.2,6.9007
40.3,6.8799
40.4,6.8774
40.5,6.8755
40.6,6.8393
40.7,6.9883
40.8,6.7799
40.9,6.7868
41.0,6.9577
41.1,6.9523
41.2,6.9822
41.3,6.9569
41.4,6.9629
41.5,7.0025
41.6,6.9396
41.7,6.9446
41.8,7.0589
41.9,7.0459
42.0,7.0081
42.1,7.0422
42.2,7.0661
42.3,6.9747
42.4,6.7842
42.5,6.7676
42.6,6.6983
42.7,6.9042
42.8,6.8141
42.9,6.7873
43.0,6.9035
43.1,6.7885
43.2,6.8129
43.3,6.8536
43.4,6.8352
43.5,6.8840
43.6,6.9156
43.7,6.8651
43.8,6.9454
43.9,6.8109
44.0,6.7462
44.1,6.9577
44.2,6.7825
44.3,6.8650
44.4,6.8135
44.5,6.7875
44.6,6.8428
44.7,6.8631
44.8,6.8339
44.9,6.7719
45.0,6.7066
45.1,6.9071
45.2,6.9411
45.3,6.8316
45.4,6.9088
45.5,6.8345
45.6,6.9306
45.7,6.9561
45.8,6.8904
45.9,6.8299
46.0,6.8443
46.1,6.8153
46.2,6.8837
46.3,6.8311
46.4,6.9146
46.5,6.7187
46.6,6.8151
46.7,6.7847
46.8,6.8737
46.9,6.8710
47.0,6.8161
47.1,6.8278
47.2,6.7579
47.3,6.7763
47.4,6.8109
47.5,6.6771
47.6,6.8384
47.7,6.8624
47.8,6.8655
47.9,6.8048
48.0,6.8542
48.1,6.9350
48.2,6.8807
48.3,6.7668
48.4,6.9624
48.5,6.8352
48.6,6.7542
48.7,6.8083
48.8,6.8650
48.9,6.7523
49.0,6.7689
49.1,6.8660
49.2,6.8236
49.3,6.8334
49.4,6.7731
49.5,6.8930
49.6,6.6941
49.7,6.8982
49.8,6.9043
49.9,6.8989
50.0,6.8155
50.1,6.8290
50.2,6.8801
50.3,6.8311
50.4,6.8462
50.5,6.7910
50.6,6.7556
50.7,6.8818
50.8,6.8090
50.9,6.8170
51.0,6.9131
51.1,6.7721
51.2,6.7279
51.3,6.8092
51.4,6.9095
51.5,6.8542
51.6,6.8623
51.7,6.8762
51.8,6.8026
51.9,7.0089
52.0,6.8865
52.1,6.8199
52.2,6.8220
52.3,6.8802
52.4,6.9352
